data,dataset_id,gencode_id,gene_symbol,tissue_site_detail_id,unit
12.25,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.98,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.19,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.57,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
19.49,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.5,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
22.71,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.36,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.57,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.7,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.56,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.86,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.16,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
9.322,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.51,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.12,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.71,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.82,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
7.701,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
11.88,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
20.25,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.19,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.21,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.27,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.13,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.29,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
11.89,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.04,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
10.81,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.61,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.99,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.83,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.39,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.79,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.62,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.17,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.23,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
19.2,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
11.51,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.13,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.78,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.85,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
5.84,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.29,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.79,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.74,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.8,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.43,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.48,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.97,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.37,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.83,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
11.0,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.86,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.74,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.77,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.34,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
11.85,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
19.0,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
9.845,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.12,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.09,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.11,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.17,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.92,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
11.5,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.37,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.71,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
10.32,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.11,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.23,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.11,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
11.05,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
27.45,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
11.98,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.63,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.15,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
23.6,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.68,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.12,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
19.06,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.57,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
8.778,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.84,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.04,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
11.64,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.49,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.67,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
22.2,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.58,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.7,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.31,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
10.58,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
25.98,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.61,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.14,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
19.81,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
22.6,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.89,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.68,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.49,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.42,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
20.25,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
11.2,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.77,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.04,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
22.05,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.21,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.93,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
11.59,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
10.19,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.43,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.05,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
8.088,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.06,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.67,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.39,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.32,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.46,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
11.59,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.48,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
11.03,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.23,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.8,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.86,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.39,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.54,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.86,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.23,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.31,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
11.51,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.42,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.91,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.34,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.35,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.59,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.63,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.82,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.97,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.41,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
10.81,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.22,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.33,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
19.28,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.1,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.62,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
19.0,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.29,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.74,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.48,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
22.44,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.53,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.42,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.89,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.31,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
20.7,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
11.81,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.9,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
6.142,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
10.56,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.52,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.37,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.22,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.54,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.36,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
19.34,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.09,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.36,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
10.97,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.16,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.45,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.77,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.89,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.08,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.69,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.0,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.87,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.89,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.77,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.54,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.75,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.27,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.95,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.78,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.76,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.02,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.21,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.63,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.36,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.39,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.65,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.46,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
21.19,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.56,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.9,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
11.4,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.67,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.48,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.67,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.0,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.36,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.49,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.06,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
11.77,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.57,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.13,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.01,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.43,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.04,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.57,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.14,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
9.494,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.07,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
8.016,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.2,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.61,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
9.961,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
10.99,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
